*
*              LENNARD-JONES POTENTIALS DATABASE
*
*               M. G. Giridharan, November 1994
*               J. A. Keenan,     October  1998, Modified Dec 2000
*
*   format:
*
*     Species name (A15); length scale (Angstroms) and energy (K) (2E19.10)
*
*  Data taken from
*  WARNING: data for NO2, HNO and N2 are identical from Wilson
*
*  WARNING: data for C12H26  is taken to be same as C4H10
*  WARNING: data for C3      is taken to be same as C2
*
AR                0.3542000000e+01   0.9330000000e+02
AIR               0.3711000000e+01   0.7860000000e+02
BCl3              0.5127000000e+01   0.3377000000e+03
BF3               0.4198000000e+01   0.1863000000e+03
CCl4              0.5947000000e+01   0.3227000000e+03
Cl2               0.4217000000e+01   0.3160000000e+03
CF4               0.4662000000e+01   0.1340000000e+03
CH3Cl             0.4182000000e+01   0.3500000000e+03
CH4               0.3758000000e+01   0.1486000000e+03
CO                0.3690000000e+01   0.9170000000e+02
COS               0.4130000000e+01   0.3360000000e+03
CO2               0.3941000000e+01   0.1952000000e+03
C2H2              0.4033000000e+01   0.2318000000e+03
C2H4              0.4162000000e+01   0.2247000000e+03
C2H6              0.4443000000e+01   0.2157000000e+03
C2N2              0.4361000000e+01   0.3486000000e+03
C3H6              0.4807000000e+01   0.2489000000e+03
C3H8              0.5118000000e+01   0.2371000000e+03
C4H10             0.5278000000e+01   0.3301000000e+03
C6H6              0.5349000000e+01   0.4123000000e+03
HBr               0.3353000000e+01   0.4490000000e+03
HCN               0.3630000000e+01   0.5691000000e+03
HCl               0.3339000000e+01   0.3447000000e+03
HF                0.3148000000e+01   0.3300000000e+03
HI                0.4211000000e+01   0.2887000000e+03
H2                0.2827000000e+01   0.5970000000e+02
H2O               0.2641000000e+01   0.8091000000e+03
H2O2              0.4196000000e+01   0.2893000000e+03
H2S               0.3623000000e+01   0.3011000000e+03
HE                0.2551000000e+01   0.1022000000e+02
Hg                0.2969000000e+01   0.7500000000e+03
HgBr2             0.5080000000e+01   0.6862000000e+03
I2                0.5160000000e+01   0.4742000000e+03
NH3               0.2900000000e+01   0.5582000000e+03
NO                0.3492000000e+01   0.1167000000e+03
NOCl              0.4112000000e+01   0.3953000000e+03
N2                0.3798000000e+01   0.7140000000e+02
N2O               0.3828000000e+01   0.2324000000e+03
O2                0.3467000000e+01   0.1067000000e+03
PH3               0.3981000000e+01   0.2515000000e+03
SF6               0.5128000000e+01   0.2221000000e+03
SO2               0.4112000000e+01   0.3354000000e+03
SiF4              0.4880000000e+01   0.1719000000e+03
SiH4              0.4084000000e+01   0.2076000000e+03
Kr                0.3665000000e+01   0.1789000000e+03
Ne                0.2820000000e+01   0.3280000000e+02
Xe                0.4047000000e+01   0.2310000000e+03
Br2               0.4296000000e+01   0.5079000000e+03
CHCl3             0.5389000000e+01   0.3402000000e+03
CH2Cl2            0.4898000000e+01   0.3563000000e+03
CH3OH             0.3626000000e+01   0.4818000000e+03
CS2               0.4483000000e+01   0.4670000000e+03
C2H5OH            0.4530000000e+01   0.3626000000e+03
CH3OCH3           0.4307000000e+01   0.3950000000e+03
C5H12             0.5784000000e+01   0.3411000000e+03
C6H12             0.6182000000e+01   0.2971000000e+03
F2                0.3357000000e+01   0.1126000000e+03
H                 0.2708000000e+01   0.3700000000e+02
OH                0.3147000000e+01   0.7980000000e+02
HO2               0.3068000000e+01   0.1680000000e+03
O                 0.3050000000e+01   0.1067000000e+03
NO2               0.3798000000e+01   0.7140000000e+02
HNO               0.3798000000e+01   0.7140000000e+02
N                 0.3298000000e+01   0.7140000000e+02
C12H26            0.5278000000e+01   0.3301000000e+03
C                 0.3385000000e+01   0.3060000000e+02
C2                0.3913000000e+01   0.7880000000e+02
C3                0.3913000000e+01   0.7880000000e+02
CN                0.3856000000e+01   0.7500000000e+02
